項目,內容
公司名稱,炫麗鑫
主要網站,炫麗黃金白銀交易所
品牌定位,主打高品質貴金屬買賣、客製訂製、專業回收、台灣品牌30年
服務項目與分類,黃金買賣、白銀買賣、鉑鈀金、貴金屬回收、紀念幣/金條訂製、工廠直營
主要產品特色,自有工廠生產/嚴格檢驗/香港、瑞士、加拿大等國際品牌商品
門市資訊-台北,https://g.page/r/CeNkxTdYjfWoEBA
門市資訊-台南,https://g.page/r/CculsAbAjSC4EAE
主要客群,B2C、企業、收藏家、B2B
重要關鍵字,黃金回收、白銀投資、金條訂製、貴金屬收購、門市交易
競爭對手（列出三家主要競爭者）,既有網站/社群/廣告帳號連結（Google Ads、官網、等）
官網,https://www.shiny.com.tw/
主力銷售網站(以此為主)-炫麗黃金白銀交易所,https://pm.shiny.com.tw/
次要網站-黃金白銀回收,https://rpm.shiny.com.tw/
廣告帳號連結(Google Ads),https://ads.google.com/aw/overview?ocid=869983112&euid=1456226152&__u=2736363048&uscid=869983112&__c=1408822088&authuser=0&workspaceId=0
LINE@,https://lin.ee/nwpQV69
Facebook粉專,https://www.facebook.com/shiny.com.tw
IG-黃金白銀交易所,https://www.instagram.com/shinygoldsilver/
IG-炫麗金飾＆鑽石珠寶,https://www.instagram.com/shinytw_dj/
momo購物平台上架,www.momoshop.com.tw/search/searchShop.jsp?keyword=Shiny+%E7%82%AB%E9%BA%97&_isFuzzy=0&searchType=1
Shiny炫麗貴金屬第一賣場,shopee.tw/shinygoldsilver?categoryId=100009&entryPoint=ShopByPDP&itemId=25150105030&upstream=search
Shiny炫麗第二賣場,shopee.tw/shinygoldshop
規劃目標,提高購買轉化率、提升自然流量、強化商品曝光、推廣線上訂購、提升客製化接洽詢問、提高回收詢問率
